name	pMLST_scheme	pMLST
R1B2G4	IncA/C PMLST	11*
R1B2H6	IncA/C PMLST	11*
R1B3A6	IncA/C PMLST	3
R1B6H15	IncA/C PMLST	1
H1-001-0001-M-L	IncF RST	F29:A-:B10
H1-001-0002-H-K	IncF RST	F-:A1:B32
H1-001-0003-S-J	IncF RST	F78:A-:B-
H1-001-0004-T-P	IncF RST	F-:A-:B-
H1-001-0005-R-G	IncF RST	F24:A-:B1
H1-001-0006-M-A	IncF RST	F52:A-:B48
H1-001-0007-H-B	IncF RST	F-:A-:B-
H1-001-0008-K-S	IncF RST	F-:A-:B-
H1-001-0009-M-P	IncF RST	F24:A-:B1
H1-001-0010-R-N	IncF RST	F2:A-:B1
H1-001-0011-M-Y	IncF RST	F29:A-:B10
H1-001-0012-K-B	IncF RST	F2:A-:B1
H1-001-0013-L-J	IncF RST	C4:A-:B1
H1-001-0014-F-H	IncF RST	F24:A-:B1
H1-001-0015-A-R	IncF RST	F2:A-:B1
H1-001-0016-D-R	IncF RST	F29:A-:B10
H1-001-0017-D-M	IncF RST	F67:A-:B16
H1-001-0018-G-O	IncF RST	F-:A-:B-
H1-001-0019-M-A	IncF RST	F36:A4:B1
H1-001-0020-M-O	IncF RST	C4:A-:B1
H1-001-0021-V-C	IncF RST	F2:A-:B-
H1-001-0022-E-J	IncF RST	F1:A1:B1
H1-001-0023-M-D	IncF RST	F24:A-:B1
H1-001-0024-C-H	IncF RST	F29:A-:B10
H1-001-0025-C-R	IncF RST	F1:A2:B20
H1-001-0026-C-O	IncF RST	F-:A6:B24
H1-001-0027-S-G	IncF RST	F2:A-:B1
H1-001-0028-E-M	IncF RST	F24:A-:B1
H1-001-0029-V-P	IncF RST	C4:A5:B1
H1-001-0030-D-A	IncF RST	F-:A-:B-
H1-001-0031-C-M	IncF RST	F24:A-:B1
H1-001-0032-B-L	IncF RST	F36:A4:B1
H1-001-0033-G-M	IncF RST	F2:A-:B1
H1-001-0034-S-M	IncF RST	F24:A-:B1
H1-001-0035-H-A	IncF RST	F29:A-:B10
H1-001-0036-E-A	IncF RST	F31:A4:B1
H1-001-0037-D-J	IncF RST	F-:A-:B-
H1-001-0038-C-V	IncF RST	F67:A-:B24
H1-001-0039-B-E	IncF RST	F-:A-:B-
H1-001-0040-G-N	IncF RST	C4:A-:B1
H1-001-0041-D-F	IncF RST	F-:A-:B23
H1-001-0042-N-E	IncF RST	F1:A1:B1
H1-001-0043-L-G	IncF RST	F49:A-:B1
H1-001-0044-P-M	IncF RST	F-:A-:B-
H1-001-0045-L-T	IncF RST	F-:A-:B-
H1-001-0046-S-T	IncF RST	F-:A-:B-
H1-001-0047-R-C	IncF RST	C4:A-:B1
H1-001-0048-F-M	IncF RST	F-:A-:B-
H1-001-0049-M-M	IncF RST	F31:A4:B1
H1-001-0050-M-T	IncF RST	F-:A-:B-
H1-001-0051-L-F	IncF RST	F-:A-:B-
H1-001-0052-M-M	IncF RST	F29:A-:B10
H1-001-0053-K-E	IncF RST	F77:A-:B16
H1-001-0054-A-A	IncF RST	F29:A-:B10
H1-001-0055-L-B	IncF RST	F-:A-:B-
H1-001-0056-E-J	IncF RST	F-:A-:B-
H1-001-0057-V-E	IncF RST	F29:A-:B10
H1-001-0058-G-M	IncF RST	F-:A-:B-
H1-001-0059-M-F	IncF RST	F2:A-:B1
H1-001-0060-C-R	IncF RST	F29:A-:B10
H1-001-0061-H-J	IncF RST	F-:A-:B1
H1-001-0062-D-H	IncF RST	F1:A-:B33
H1-001-0063-G-T	IncF RST	F-:A-:B-
H1-001-0064-D-M	IncF RST	F1:A2:B20
H1-001-0065-A-D	IncF RST	F29:A-:B10
H1-001-0066-P-C	IncF RST	F-:A-:B-
H1-001-0067-D-V	IncF RST	F-:A-:B-
H1-001-0068-C-C	IncF RST	F29:A-:B10
H1-001-0069-L-A	IncF RST	F29:A-:B10
H1-001-0070-L-P	IncF RST	F-:A-:B-
H1-001-0071-P-L	IncF RST	F-:A-:B-
H1-001-0072-N-F	IncF RST	C4:A-:B1
H1-001-0073-Z-M	IncF RST	F-:A-:B-
H1-001-0074-B-K	IncF RST	F-:A-:B-
H1-001-0075-N-A	IncF RST	F-:A-:B-
H1-001-0076-M-P	IncF RST	F1:A2:B20
H1-001-0077-B-V	IncF RST	F-:A-:B-
H1-001-0078-O-P	IncF RST	C4:A5:B1
H1-001-0079-V-O	IncF RST	F1:A1:B16
H1-001-0080-B-A	IncF RST	F48:A1:B49
H1-001-0081-L-J	IncF RST	F36:A4:B1
H1-001-0082-P-K	IncF RST	F24:A-:B1
H1-001-0083-D-D	IncF RST	F29:A-:B10
H1-001-0084-A-S	IncF RST	F29:A-:B10
H1-001-0085-F-D	IncF RST	F2:A-:B1
H1-001-0086-B-F	IncF RST	F64:A-:B73
H1-001-0087-M-C	IncF RST	F-:A-:B-
H1-001-0088-K-O	IncF RST	F-:A-:B-
H1-001-0089-F-A	IncF RST	F52:A-:B48
H1-001-0090-C-J	IncF RST	F-:A-:B-
H1-001-0091-R-G	IncF RST	F-:A-:B-
H1-001-0092-L-F	IncF RST	F24:A-:B50
H1-001-0093-R-A	IncF RST	C1:A-:B-
H1-001-0094-C-D	IncF RST	F95:A-:B65
H1-001-0095-N-K	IncF RST	F1:A1:B1
H1-001-0096-B-O	IncF RST	F10:A-:B1
H1-001-0097-B-F	IncF RST	C4:A-:B1
H1-001-0098-B-K	IncF RST	F24:A-:B1
H1-001-0099-L-B	IncF RST	F-:A-:B-
H1-001-0100-H-O	IncF RST	F52:A-:B48
H1-001-0101-D-A	IncF RST	F2:A-:B-
H1-001-0102-V-J	IncF RST	F2:A-:B1
H1-001-0103-G-B	IncF RST	F2:A-:B-
H1-001-0104-J-J	IncF RST	F1:A1:B16
H1-001-0105-C-P	IncF RST	F64:A-:B27
H1-001-0106-C-J	IncF RST	F19:A-:B-
H1-001-0107-L-E	IncF RST	F24:A-:B73
H1-001-0108-S-J	IncF RST	C4:A5:B1
H1-001-0109-S-B	IncF RST	F-:A-:B-
H1-001-0110-D-F	IncF RST	F29:A-:B10
H1-001-0111-B-J	IncF RST	C4:A-:B1
H1-001-0112-D-M	IncF RST	F29:A-:B10
H1-001-0113-J-D	IncF RST	F1:A1:B16
H1-001-0114-R-S	IncF RST	F29:A-:B10
H1-001-0115-L-J	IncF RST	F31:A4:B1
H1-001-0116-H-M	IncF RST	F1:A2:B20
H1-001-0117-D-M	IncF RST	F29:A-:B10
H1-001-0118-F-M	IncF RST	F-:A-:B-
H1-001-0119-F-Z	IncF RST	F29:A-:B10
H1-001-0120-M-A	IncF RST	F2:A-:B-
H1-001-0121-Q-J	IncF RST	F-:A-:B-
H1-001-0122-S-J	IncF RST	F51:A-:B10
H1-001-0123-M-L	IncF RST	F29:A-:B10
H1-001-0124-C-A	IncF RST	C4:A6:B1
H1-001-0125-B-M	IncF RST	F-:A-:B-
H1-001-0126-S-B	IncF RST	C4:A5:B1
H1-001-0127-P-J	IncF RST	F56:A-:B10
H1-001-0128-B-A	IncF RST	F1:A1:B20
H1-001-0129-R-J	IncF RST	F-:A-:B-
H1-001-0130-N-D	IncF RST	F57:A-:B23
H1-001-0131-C-A	IncF RST	F67:A-:B16
H1-001-0132-J-F	IncF RST	F29:A-:B10
H1-001-0133-V-M	IncF RST	F29:A-:B10
H1-001-0134-C-D	IncF RST	F67:A-:B1
H1-001-0135-L-E	IncF RST	F24:A-:B1
H1-001-0136-C-S	IncF RST	C4:A6:B26
H1-001-0137-D-L	IncF RST	F67:A-:B38
H1-001-0138-N-F	IncF RST	F24:A-:B-
H1-001-0139-M-B	IncF RST	C4:A-:B1
H1-001-0140-M-O	IncF RST	F51:A-:B10
H1-001-0141-G-Y	IncF RST	F-:A-:B-
H1-001-0142-L-C	IncF RST	F95:A-:B24
H1-001-0143-B-M	IncF RST	F2:A-:B1
H1-001-0145-J-P	IncF RST	F-:A-:B42
H1-001-0146-V-D	IncF RST	F2:A-:B1
H1-001-0147-D-A	IncF RST	F35:A1:B1
H1-001-0148-Y-J	IncF RST	F-:A-:B-
H1-001-0149-B-A	IncF RST	F1:A1:B1
H1-001-0150-D-P	IncF RST	F2:A-:B-
H1-001-0151-L-P	IncF RST	F36:A4:B75
H1-001-0152-D-D	IncF RST	F105:A4:B1
H1-001-0153-G-B	IncF RST	F-:A-:B1
H1-001-0154-T-K	IncF RST	F-:A1:B1
