name	phylogroup
ERR434259	A
ERR434260	B2
ERR434261	B2
ERR434262	A
ERR434263	B1
ERR434264	B2
ERR434265	B2
ERR434266	B2
ERR434267	B1
ERR434268	B1
ERR434269	B2
ERR434270	B2
ERR434271	B2
ERR434272	D
ERR434273	B2
ERR434274	A
ERR434275	B2
ERR434276	B2
ERR434277	B2
ERR434278	D
ERR434279	B1
ERR434280	B2
ERR434281	B2
ERR434282	B2
ERR434283	B2
ERR434284	B2
ERR434285	B2
ERR434286	B2
ERR434287	B2
ERR434288	B2
ERR434289	B2
ERR434290	D
ERR434291	A
ERR434292	B1
ERR434293	D
ERR434294	B2
ERR434295	B2
ERR434296	F
ERR434297	A
ERR434298	A
ERR434299	B2
ERR434300	B1
ERR434301	D
ERR434302	B2
ERR434304	B2
ERR434305	B2
ERR434306	B2
ERR434307	B2
ERR434308	B2
ERR434309	B2
ERR434310	A
ERR434311	B2
ERR434312	B2
ERR434313	B2
ERR434314	B2
ERR434315	B2
ERR434316	B2
ERR434317	B2
ERR434318	F
ERR434319	B2
ERR434320	B2
ERR434321	B2
ERR434322	B2
ERR434323	D
ERR434324	D
ERR434325	D
ERR434326	D
ERR434327	A
ERR434328	B1
ERR434329	F
ERR434330	B2
ERR434331	B2
ERR434332	B2
ERR434333	B2
ERR434334	D
ERR434335	B2
ERR434336	B2
ERR434337	B2
ERR434338	B2
ERR434339	B2
ERR434340	B2
ERR434341	B2
ERR434342	B2
ERR434343	B1
ERR434344	B2
ERR434345	B2
ERR434346	B2
ERR434347	B2
ERR434348	A
ERR434349	B2
ERR434350	B2
ERR434351	B1
ERR434352	B2
ERR434353	B1
ERR434354	B2
ERR434355	B1
ERR434356	B2
ERR434357	B2
ERR434358	B1
ERR434359	D
ERR434360	B2
ERR434361	B2
ERR434362	B2
ERR434363	B2
ERR434364	B2
ERR434365	B2
ERR434366	A
ERR434367	B2
ERR434368	B2
ERR434369	B2
ERR434370	B2
ERR434371	B2
ERR434372	B2
ERR434373	B2
ERR434374	A
ERR434375	B2
ERR434376	B2
ERR434377	B2
ERR434378	B2
ERR434380	B2
ERR434381	B2
ERR434382	B2
ERR434383	B2
ERR434384	B2
ERR434385	F
ERR434386	B2
ERR434387	F
ERR434388	D
ERR434389	B2
ERR434390	B2
ERR434391	B2
ERR434392	B2
ERR434393	B1
ERR434394	D
ERR434395	B2
ERR434396	B2
ERR434397	D
ERR434398	D
ERR434399	B2
ERR434400	B2
ERR434401	B2
ERR434402	B2
ERR434403	B2
ERR434404	B2
ERR434405	B2
ERR434406	B2
ERR434407	B2
ERR434408	B2
ERR434409	G
ERR434410	B2
ERR434411	A
ERR434412	B2
ERR434413	B2
ERR434414	A
ERR434415	F
ERR434416	D
ERR434417	B2
ERR434418	B2
ERR434419	B2
ERR434420	B2
ERR434421	B2
ERR434422	A
ERR434423	D
ERR434424	A
ERR434425	B2
ERR434426	B2
ERR434427	B2
ERR434428	B2
ERR434429	F
ERR434430	B2
ERR434431	B2
ERR434432	B2
ERR434433	B2
ERR434434	B2
ERR434435	B2
ERR434436	B2
ERR434437	A
ERR434438	D
ERR434439	B2
ERR434440	B2
ERR434441	B2
ERR434442	D
ERR434443	D
ERR434444	A
ERR434445	B2
ERR434446	B2
ERR434447	F
ERR434448	B2
ERR434449	B2
ERR434450	B2
ERR434451	B2
ERR434452	B2
ERR434453	B1
ERR434454	B2
ERR434455	D
ERR434456	B2
ERR434457	B2
ERR434458	B2
ERR434459	B1
ERR434460	A
ERR434461	B2
ERR434462	B2
ERR434463	F
ERR434464	B2
ERR434465	B2
ERR434466	B2
ERR434467	B2
ERR434468	B2
ERR434469	A
ERR434470	B2
ERR434471	B2
ERR434472	B2
ERR434473	B2
ERR434474	B2
ERR434475	B2
ERR434476	B2
ERR434477	D
ERR434478	B2
ERR434479	B2
ERR434480	B2
ERR434481	D
ERR434482	B2
ERR434483	B2
ERR434484	A
ERR434485	A
ERR434486	F
ERR434487	B2
ERR434488	B2
ERR434489	D
ERR434490	B2
ERR434491	B1
ERR434492	B2
ERR434493	B2
ERR434494	B2
ERR434495	D
ERR434496	B1
ERR434497	B2
ERR434498	B2
ERR434499	B2
ERR434500	B2
ERR434501	B2
ERR434502	B2
ERR434503	B2
ERR434504	B2
ERR434505	B2
ERR434506	B2
ERR434507	B2
ERR434508	B2
ERR434509	B2
ERR434510	B2
ERR434511	B2
ERR434512	B2
ERR434513	C
ERR434514	D
ERR434515	C
ERR434516	B2
ERR434517	B2
ERR434518	B2
ERR434519	B2
ERR434520	B2
ERR434521	B2
ERR434522	B2
ERR434523	B2
ERR434524	B2
ERR434525	D
ERR434526	B2
ERR434527	B2
ERR434528	B2
ERR434529	B2
ERR434530	B2
ERR434531	D
ERR434532	B2
ERR434533	B2
ERR434534	B2
ERR434535	B1
ERR434536	B2
ERR434537	C
ERR434538	B2
