Name,BioProject,BioSample,SRA,Assembly,Collection
ECO0002,PRJEB4681,SAMEA2204230,ERR434259,GCF_000005845.1,Cambridge
ECO0010,PRJEB4681,SAMEA2204238,ERR434260,GCF_000005845.1,Cambridge
ECO0016,PRJEB4681,SAMEA2204244,ERR434261,GCF_000005845.1,Cambridge
ECO0032,PRJEB4681,SAMEA2204260,ERR434262,GCF_000005845.1,Cambridge
ECO0049,PRJEB4681,SAMEA2204277,ERR434263,GCF_000005845.1,Cambridge
ECO0134,PRJEB4681,SAMEA2204362,ERR434264,GCF_000005845.1,Cambridge
ECO0140,PRJEB4681,SAMEA2204368,ERR434265,GCF_000005845.1,Cambridge
ECO0157,PRJEB4681,SAMEA2204385,ERR434266,GCF_000005845.1,Cambridge
ECO0167,PRJEB4681,SAMEA2204395,ERR434267,GCF_000005845.1,Cambridge
ECO0190,PRJEB4681,SAMEA2204418,ERR434268,GCF_000005845.1,Cambridge
ECO0205,PRJEB4681,SAMEA2204424,ERR434269,GCF_000005845.1,Cambridge
ECO0208,PRJEB4681,SAMEA2204427,ERR434270,GCF_000005845.1,Cambridge
ECO0211,PRJEB4681,SAMEA2204430,ERR434271,GCF_000005845.1,Cambridge
ECO0239,PRJEB4681,SAMEA2204456,ERR434272,GCF_000005845.1,Cambridge
ECO0256,PRJEB4681,SAMEA2204473,ERR434273,GCF_000005845.1,Cambridge
ECO0267,PRJEB4681,SAMEA2204484,ERR434274,GCF_000005845.1,Cambridge
ECO0288,PRJEB4681,SAMEA2204505,ERR434275,GCF_000005845.1,Cambridge
ECO0289,PRJEB4681,SAMEA2204506,ERR434276,GCF_000005845.1,Cambridge
ECO0294,PRJEB4681,SAMEA2204511,ERR434277,GCF_000005845.1,Cambridge
ECO0198,PRJEB4681,SAMEA2204520,ERR434278,GCF_000005845.1,Cambridge
ECO0351,PRJEB4681,SAMEA2204569,ERR434279,GCF_000005845.1,Cambridge
ECO0395,PRJEB4681,SAMEA2204606,ERR434280,GCF_000005845.1,Cambridge
ECO0396,PRJEB4681,SAMEA2204607,ERR434281,GCF_000005845.1,Cambridge
ECO0420,PRJEB4681,SAMEA2204630,ERR434282,GCF_000005845.1,Cambridge
eo122,PRJEB4681,SAMEA2204673,ERR434283,GCF_000005845.1,Cambridge
eo125,PRJEB4681,SAMEA2204676,ERR434284,GCF_000005845.1,Cambridge
eo150,PRJEB4681,SAMEA2204689,ERR434285,GCF_000005845.1,Cambridge
ECO0366,PRJEB4681,SAMEA2204694,ERR434286,GCF_000005845.1,Cambridge
eo211,PRJEB4681,SAMEA2204710,ERR434287,GCF_000005845.1,Cambridge
eo212,PRJEB4681,SAMEA2204711,ERR434288,GCF_000005845.1,Cambridge
eo269,PRJEB4681,SAMEA2204733,ERR434289,GCF_000005845.1,Cambridge
eo303,PRJEB4681,SAMEA2204736,ERR434290,GCF_000005845.1,Cambridge
eo306,PRJEB4681,SAMEA2204739,ERR434291,GCF_000005845.1,Cambridge
eo314,PRJEB4681,SAMEA2204745,ERR434292,GCF_000005845.1,Cambridge
eo316,PRJEB4681,SAMEA2204747,ERR434293,GCF_000005845.1,Cambridge
eo348,PRJEB4681,SAMEA2204765,ERR434294,GCF_000005845.1,Cambridge
eo349,PRJEB4681,SAMEA2204766,ERR434295,GCF_000005845.1,Cambridge
eo379,PRJEB4681,SAMEA2204774,ERR434296,GCF_000005845.1,Cambridge
eo640,PRJEB4681,SAMEA2204866,ERR434297,GCF_000005845.1,Cambridge
eo652,PRJEB4681,SAMEA2204869,ERR434298,GCF_000005845.1,Cambridge
eo653,PRJEB4681,SAMEA2204870,ERR434299,GCF_000005845.1,Cambridge
eo659,PRJEB4681,SAMEA2204876,ERR434300,GCF_000005845.1,Cambridge
eo684,PRJEB4681,SAMEA2204889,ERR434301,GCF_000005845.1,Cambridge
eo764,PRJEB4681,SAMEA2204913,ERR434302,GCF_000005845.1,Cambridge
ECO0367,PRJEB4681,SAMEA2204960,ERR434303,GCF_000005845.1,Cambridge
eo920,PRJEB4681,SAMEA2205008,ERR434304,GCF_000005845.1,Cambridge
eo975,PRJEB4681,SAMEA2205039,ERR434305,GCF_000005845.1,Cambridge
eo1054,PRJEB4681,SAMEA2205057,ERR434306,GCF_000005845.1,Cambridge
eo1097,PRJEB4681,SAMEA2205080,ERR434307,GCF_000005845.1,Cambridge
eo1180,PRJEB4681,SAMEA2205100,ERR434308,GCF_000005845.1,Cambridge
eo1203,PRJEB4681,SAMEA2205113,ERR434309,GCF_000005845.1,Cambridge
eo1207,PRJEB4681,SAMEA2205116,ERR434310,GCF_000005845.1,Cambridge
eo1266,PRJEB4681,SAMEA2205131,ERR434311,GCF_000005845.1,Cambridge
eo1316,PRJEB4681,SAMEA2205149,ERR434312,GCF_000005845.1,Cambridge
eo1636,PRJEB4681,SAMEA2205164,ERR434313,GCF_000005845.1,Cambridge
eo1662,PRJEB4681,SAMEA2205170,ERR434314,GCF_000005845.1,Cambridge
eo1666,PRJEB4681,SAMEA2205174,ERR434315,GCF_000005845.1,Cambridge
eo1726,PRJEB4681,SAMEA2205213,ERR434316,GCF_000005845.1,Cambridge
eo1727,PRJEB4681,SAMEA2205214,ERR434317,GCF_000005845.1,Cambridge
eo1514,PRJEB4681,SAMEA2205216,ERR434318,GCF_000005845.1,Cambridge
eo1851,PRJEB4681,SAMEA2205228,ERR434319,GCF_000005845.1,Cambridge
eo1324,PRJEB4681,SAMEA2205251,ERR434320,GCF_000005845.1,Cambridge
eo1342,PRJEB4681,SAMEA2205257,ERR434321,GCF_000005845.1,Cambridge
eo1349,PRJEB4681,SAMEA2205264,ERR434322,GCF_000005845.1,Cambridge
eo1382,PRJEB4681,SAMEA2205267,ERR434323,GCF_000005845.1,Cambridge
eo1566,PRJEB4681,SAMEA2205268,ERR434324,GCF_000005845.1,Cambridge
eo1386,PRJEB4681,SAMEA2205269,ERR434325,GCF_000005845.1,Cambridge
eo1390,PRJEB4681,SAMEA2205274,ERR434326,GCF_000005845.1,Cambridge
eo1423,PRJEB4681,SAMEA2205285,ERR434327,GCF_000005845.1,Cambridge
eo1424,PRJEB4681,SAMEA2205286,ERR434328,GCF_000005845.1,Cambridge
eo1938,PRJEB4681,SAMEA2205337,ERR434329,GCF_000005845.1,Cambridge
eo2094,PRJEB4681,SAMEA2205360,ERR434330,GCF_000005845.1,Cambridge
eo2139,PRJEB4681,SAMEA2205377,ERR434331,GCF_000005845.1,Cambridge
eo2193,PRJEB4681,SAMEA2205392,ERR434332,GCF_000005845.1,Cambridge
eo2373,PRJEB4681,SAMEA2205405,ERR434333,GCF_000005845.1,Cambridge
eo2519,PRJEB4681,SAMEA2205430,ERR434334,GCF_000005845.1,Cambridge
eo2635,PRJEB4681,SAMEA2205449,ERR434335,GCF_000005845.1,Cambridge
eo2862,PRJEB4681,SAMEA2205478,ERR434336,GCF_000005845.1,Cambridge
eo2897,PRJEB4681,SAMEA2205482,ERR434337,GCF_000005845.1,Cambridge
eo2979,PRJEB4681,SAMEA2205494,ERR434338,GCF_000005845.1,Cambridge
eo3004,PRJEB4681,SAMEA2205500,ERR434339,GCF_000005845.1,Cambridge
eo2577,PRJEB4681,SAMEA2205518,ERR434340,GCF_000005845.1,Cambridge
eo2698,PRJEB4681,SAMEA2205522,ERR434341,GCF_000005845.1,Cambridge
eo3121,PRJEB4681,SAMEA2205525,ERR434342,GCF_000005845.1,Cambridge
eo3191,PRJEB4681,SAMEA2205544,ERR434343,GCF_000005845.1,Cambridge
eo3314,PRJEB4681,SAMEA2205553,ERR434344,GCF_000005845.1,Cambridge
eo3367,PRJEB4681,SAMEA2205557,ERR434345,GCF_000005845.1,Cambridge
eo3371,PRJEB4681,SAMEA2205560,ERR434346,GCF_000005845.1,Cambridge
eo3378,PRJEB4681,SAMEA2205562,ERR434347,GCF_000005845.1,Cambridge
eo3379,PRJEB4681,SAMEA2205563,ERR434348,GCF_000005845.1,Cambridge
eo3388,PRJEB4681,SAMEA2205570,ERR434349,GCF_000005845.1,Cambridge
eo3491,PRJEB4681,SAMEA2205585,ERR434350,GCF_000005845.1,Cambridge
eo3677,PRJEB4681,SAMEA2205605,ERR434351,GCF_000005845.1,Cambridge
eo2011,PRJEB4681,SAMEA2205655,ERR434352,GCF_000005845.1,Cambridge
eo2432,PRJEB4681,SAMEA2205661,ERR434353,GCF_000005845.1,Cambridge
eo3509,PRJEB4681,SAMEA2205731,ERR434354,GCF_000005845.1,Cambridge
ECO0033,PRJEB4681,SAMEA2204261,ERR434355,GCF_000005845.1,Cambridge
ECO0067,PRJEB4681,SAMEA2204295,ERR434356,GCF_000005845.1,Cambridge
ECO0097,PRJEB4681,SAMEA2204325,ERR434357,GCF_000005845.1,Cambridge
ECO0106,PRJEB4681,SAMEA2204334,ERR434358,GCF_000005845.1,Cambridge
ECO0132,PRJEB4681,SAMEA2204360,ERR434359,GCF_000005845.1,Cambridge
ECO0135,PRJEB4681,SAMEA2204363,ERR434360,GCF_000005845.1,Cambridge
ECO0201,PRJEB4681,SAMEA2204420,ERR434361,GCF_000005845.1,Cambridge
ECO0206,PRJEB4681,SAMEA2204425,ERR434362,GCF_000005845.1,Cambridge
ECO0210,PRJEB4681,SAMEA2204429,ERR434363,GCF_000005845.1,Cambridge
ECO0212,PRJEB4681,SAMEA2204431,ERR434364,GCF_000005845.1,Cambridge
ECO0222,PRJEB4681,SAMEA2204439,ERR434365,GCF_000005845.1,Cambridge
ECO0228,PRJEB4681,SAMEA2204445,ERR434366,GCF_000005845.1,Cambridge
ECO0231,PRJEB4681,SAMEA2204448,ERR434367,GCF_000005845.1,Cambridge
ECO0237,PRJEB4681,SAMEA2204454,ERR434368,GCF_000005845.1,Cambridge
ECO0241,PRJEB4681,SAMEA2204458,ERR434369,GCF_000005845.1,Cambridge
ECO0244,PRJEB4681,SAMEA2204461,ERR434370,GCF_000005845.1,Cambridge
ECO0263,PRJEB4681,SAMEA2204480,ERR434371,GCF_000005845.1,Cambridge
ECO0271,PRJEB4681,SAMEA2204488,ERR434372,GCF_000005845.1,Cambridge
ECO0276,PRJEB4681,SAMEA2204493,ERR434373,GCF_000005845.1,Cambridge
ECO0290,PRJEB4681,SAMEA2204507,ERR434374,GCF_000005845.1,Cambridge
ECO0295,PRJEB4681,SAMEA2204512,ERR434375,GCF_000005845.1,Cambridge
ECO0406,PRJEB4681,SAMEA2204617,ERR434376,GCF_000005845.1,Cambridge
ECO0414,PRJEB4681,SAMEA2204624,ERR434377,GCF_000005845.1,Cambridge
ECO0415,PRJEB4681,SAMEA2204625,ERR434378,GCF_000005845.1,Cambridge
ECO0437,PRJEB4681,SAMEA2204643,ERR434379,GCF_000005845.1,Cambridge
eo30,PRJEB4681,SAMEA2204654,ERR434380,GCF_000005845.1,Cambridge
eo36,PRJEB4681,SAMEA2204658,ERR434381,GCF_000005845.1,Cambridge
eo76,PRJEB4681,SAMEA2204664,ERR434382,GCF_000005845.1,Cambridge
eo91,PRJEB4681,SAMEA2204666,ERR434383,GCF_000005845.1,Cambridge
eo123,PRJEB4681,SAMEA2204674,ERR434384,GCF_000005845.1,Cambridge
eo309,PRJEB4681,SAMEA2204741,ERR434385,GCF_000005845.1,Cambridge
eo337,PRJEB4681,SAMEA2204757,ERR434386,GCF_000005845.1,Cambridge
eo445,PRJEB4681,SAMEA2204784,ERR434387,GCF_000005845.1,Cambridge
eo448,PRJEB4681,SAMEA2204787,ERR434388,GCF_000005845.1,Cambridge
eo461,PRJEB4681,SAMEA2204790,ERR434389,GCF_000005845.1,Cambridge
eo511,PRJEB4681,SAMEA2204819,ERR434390,GCF_000005845.1,Cambridge
ECO0655,PRJEB4681,SAMEA2204850,ERR434391,GCF_000005845.1,Cambridge
eo634,PRJEB4681,SAMEA2204859,ERR434392,GCF_000005845.1,Cambridge
eo638,PRJEB4681,SAMEA2204864,ERR434393,GCF_000005845.1,Cambridge
eo657,PRJEB4681,SAMEA2204874,ERR434394,GCF_000005845.1,Cambridge
eo713,PRJEB4681,SAMEA2204905,ERR434395,GCF_000005845.1,Cambridge
eo825,PRJEB4681,SAMEA2204936,ERR434396,GCF_000005845.1,Cambridge
eo881,PRJEB4681,SAMEA2204949,ERR434397,GCF_000005845.1,Cambridge
eo929,PRJEB4681,SAMEA2205014,ERR434398,GCF_000005845.1,Cambridge
eo1013,PRJEB4681,SAMEA2205046,ERR434399,GCF_000005845.1,Cambridge
eo1165,PRJEB4681,SAMEA2205095,ERR434400,GCF_000005845.1,Cambridge
eo1170,PRJEB4681,SAMEA2205098,ERR434401,GCF_000005845.1,Cambridge
eo1309,PRJEB4681,SAMEA2205142,ERR434402,GCF_000005845.1,Cambridge
eo1322,PRJEB4681,SAMEA2205154,ERR434403,GCF_000005845.1,Cambridge
eo1635,PRJEB4681,SAMEA2205163,ERR434404,GCF_000005845.1,Cambridge
eo1640,PRJEB4681,SAMEA2205168,ERR434405,GCF_000005845.1,Cambridge
eo1664,PRJEB4681,SAMEA2205172,ERR434406,GCF_000005845.1,Cambridge
eo1692,PRJEB4681,SAMEA2205189,ERR434407,GCF_000005845.1,Cambridge
eo1411,PRJEB4681,SAMEA2205195,ERR434408,GCF_000005845.1,Cambridge
eo1698,PRJEB4681,SAMEA2205196,ERR434409,GCF_000005845.1,Cambridge
eo2511,PRJEB4681,SAMEA2205220,ERR434410,GCF_000005845.1,Cambridge
eo1862,PRJEB4681,SAMEA2205237,ERR434411,GCF_000005845.1,Cambridge
eo2157,PRJEB4681,SAMEA2205246,ERR434412,GCF_000005845.1,Cambridge
eo1325,PRJEB4681,SAMEA2205252,ERR434413,GCF_000005845.1,Cambridge
eo1567,PRJEB4681,SAMEA2205270,ERR434414,GCF_000005845.1,Cambridge
eo1418,PRJEB4681,SAMEA2205280,ERR434415,GCF_000005845.1,Cambridge
eo1569,PRJEB4681,SAMEA2205283,ERR434416,GCF_000005845.1,Cambridge
eo1443,PRJEB4681,SAMEA2205294,ERR434417,GCF_000005845.1,Cambridge
eo1445,PRJEB4681,SAMEA2205296,ERR434418,GCF_000005845.1,Cambridge
eo1471,PRJEB4681,SAMEA2205311,ERR434419,GCF_000005845.1,Cambridge
eo1447,PRJEB4681,SAMEA2205328,ERR434420,GCF_000005845.1,Cambridge
eo1939,PRJEB4681,SAMEA2205338,ERR434421,GCF_000005845.1,Cambridge
eo2014,PRJEB4681,SAMEA2205344,ERR434422,GCF_000005845.1,Cambridge
eo2151,PRJEB4681,SAMEA2205379,ERR434423,GCF_000005845.1,Cambridge
eo2435,PRJEB4681,SAMEA2205418,ERR434424,GCF_000005845.1,Cambridge
eo2595,PRJEB4681,SAMEA2205440,ERR434425,GCF_000005845.1,Cambridge
eo2652,PRJEB4681,SAMEA2205452,ERR434426,GCF_000005845.1,Cambridge
eo2699,PRJEB4681,SAMEA2205463,ERR434427,GCF_000005845.1,Cambridge
eo2847,PRJEB4681,SAMEA2205469,ERR434428,GCF_000005845.1,Cambridge
eo2639,PRJEB4681,SAMEA2205476,ERR434429,GCF_000005845.1,Cambridge
eo2965,PRJEB4681,SAMEA2205489,ERR434430,GCF_000005845.1,Cambridge
eo2969,PRJEB4681,SAMEA2205491,ERR434431,GCF_000005845.1,Cambridge
eo3041,PRJEB4681,SAMEA2205514,ERR434432,GCF_000005845.1,Cambridge
eo3043,PRJEB4681,SAMEA2205515,ERR434433,GCF_000005845.1,Cambridge
eo2900,PRJEB4681,SAMEA2205528,ERR434434,GCF_000005845.1,Cambridge
eo3195,PRJEB4681,SAMEA2205546,ERR434435,GCF_000005845.1,Cambridge
eo3311,PRJEB4681,SAMEA2205550,ERR434436,GCF_000005845.1,Cambridge
eo2844,PRJEB4681,SAMEA2205554,ERR434437,GCF_000005845.1,Cambridge
eo3368,PRJEB4681,SAMEA2205558,ERR434438,GCF_000005845.1,Cambridge
eo3519,PRJEB4681,SAMEA2205592,ERR434439,GCF_000005845.1,Cambridge
eo3567,PRJEB4681,SAMEA2205598,ERR434440,GCF_000005845.1,Cambridge
eo3760,PRJEB4681,SAMEA2205612,ERR434441,GCF_000005845.1,Cambridge
eo720,PRJEB4681,SAMEA2205621,ERR434442,GCF_000005845.1,Cambridge
eo822,PRJEB4681,SAMEA2205631,ERR434443,GCF_000005845.1,Cambridge
eo1161,PRJEB4681,SAMEA2205643,ERR434444,GCF_000005845.1,Cambridge
eo1944,PRJEB4681,SAMEA2205656,ERR434445,GCF_000005845.1,Cambridge
eo1224,PRJEB4681,SAMEA2205696,ERR434446,GCF_000005845.1,Cambridge
eo696,PRJEB4681,SAMEA2205699,ERR434447,GCF_000005845.1,Cambridge
eo1173,PRJEB4681,SAMEA2205709,ERR434448,GCF_000005845.1,Cambridge
eo2653,PRJEB4681,SAMEA2205726,ERR434449,GCF_000005845.1,Cambridge
