Name,BioProject,BioSample,SRA,Assembly,Collection
H1-001-0001-M-L,PRJEB35745,SAMEA6377859,NA,GCA_902706665.2,French
H1-001-0002-H-K,PRJEB35745,SAMEA6377860,NA,GCA_902706795.2,French
H1-001-0003-S-J,PRJEB35745,SAMEA6377861,NA,GCA_902706675.2,French
H1-001-0004-T-P,PRJEB35745,SAMEA6377862,NA,GCA_902706745.2,French
H1-001-0005-R-G,PRJEB35745,SAMEA6377863,NA,GCA_902706785.2,French
H1-001-0006-M-A,PRJEB35745,SAMEA6377864,NA,GCA_902706715.2,French
H1-001-0007-H-B,PRJEB35745,SAMEA6377865,NA,GCA_902706765.2,French
H1-001-0008-K-S,PRJEB35745,SAMEA6377866,NA,GCA_902706755.2,French
H1-001-0009-M-P,PRJEB35745,SAMEA6377867,NA,GCA_902706705.1,French
H1-001-0010-R-N,PRJEB35745,SAMEA6377868,NA,GCA_902706725.2,French
H1-001-0011-M-Y,PRJEB35745,SAMEA6377869,NA,GCA_902706655.2,French
H1-001-0012-K-B,PRJEB35745,SAMEA6377870,NA,GCA_902706645.2,French
H1-001-0013-L-J,PRJEB35745,SAMEA6377871,NA,GCA_902706695.2,French
H1-001-0014-F-H,PRJEB35745,SAMEA6377872,NA,GCA_902706775.2,French
H1-001-0015-A-R,PRJEB35745,SAMEA6377873,NA,GCA_902706805.2,French
H1-001-0016-D-R,PRJEB35745,SAMEA6377874,NA,GCA_902706825.2,French
H1-001-0017-D-M,PRJEB35745,SAMEA6377875,NA,GCA_902706685.2,French
H1-001-0018-G-O,PRJEB35745,SAMEA6377876,NA,GCA_902706815.2,French
H1-001-0019-M-A,PRJEB35745,SAMEA6377877,NA,GCA_902706735.2,French
H1-001-0020-M-O,PRJEB35745,SAMEA6377878,NA,GCA_902706835.2,French
H1-001-0021-V-C,PRJEB35745,SAMEA6377879,NA,GCA_902706905.1,French
H1-001-0022-E-J,PRJEB35745,SAMEA6377880,NA,GCA_902706875.2,French
H1-001-0023-M-D,PRJEB35745,SAMEA6377881,NA,GCA_902707005.2,French
H1-001-0024-C-H,PRJEB35745,SAMEA6377882,NA,GCA_902706845.2,French
H1-001-0025-C-R,PRJEB35745,SAMEA6377883,NA,GCA_902706975.2,French
H1-001-0026-C-O,PRJEB35745,SAMEA6377884,NA,GCA_902706925.2,French
H1-001-0027-S-G,PRJEB35745,SAMEA6377885,NA,GCA_902706855.2,French
H1-001-0028-E-M,PRJEB35745,SAMEA6377886,NA,GCA_902706955.2,French
