Name,BioProject,BioSample,SRA,Assembly,Collection
MMMOSAM:0d6465b7-c1d1-4485-82ac-3bf2e2937535,PRJNA604975,SAMN14345074,SRR11281505,NA,Oxford
MMMOSAM:045c06a3-45c7-4d4a-8345-b6b47a3c3458,PRJNA604975,SAMN14345075,SRR11281506,NA,Oxford
MMMOSAM:fce61402-2794-4310-93ee-8168bc37636c,PRJNA604975,SAMN14345031,SRR11281507,NA,Oxford
MMMOSAM:df9821e8-7027-4569-9089-0412e38363e7,PRJNA604975,SAMN14345036,SRR11281512,NA,Oxford
MMMOSAM:c3c7b31f-8fe5-4955-85c5-c66ed55336bb,PRJNA604975,SAMN14345042,SRR11281518,NA,Oxford
MMMOSAM:c03a5bc6-25c8-47ab-9836-921a26fbf788,PRJNA604975,SAMN14345043,SRR11281519,NA,Oxford
MMMOSAM:bcda7b7c-1781-40e7-9743-3411f4fff7bd,PRJNA604975,SAMN14124375,SRR11281520,NA,Oxford
MMMOSAM:b013b9bb-e9a6-43fc-9816-a4d34cc9ae12,PRJNA604975,SAMN14345046,SRR11281523,NA,Oxford
MMMOSAM:aac61fbd-2faa-4809-97d7-2c28d007b6a1,PRJNA604975,SAMN14345048,SRR11281525,NA,Oxford
MMMOSAM:959bd38a-da72-4714-a022-1d2795a1ff9f,PRJNA604975,SAMN14345049,SRR11281526,NA,Oxford
MMMOSAM:926ff07a-44d2-43e6-8595-808221deec9a,PRJNA604975,SAMN14345050,SRR11281527,NA,Oxford
MMMOSAM:89db24b5-c60a-4ef1-9658-d9ab7e34893c,PRJNA604975,SAMN14345053,SRR11281530,NA,Oxford
MMMOSAM:77631cba-b311-4349-948f-b9f95901febe,PRJNA604975,SAMN14345055,SRR11281532,NA,Oxford
MMMOSAM:70446dd0-0f80-47ba-9a14-6417cfa3e4cc,PRJNA604975,SAMN14345056,SRR11281533,NA,Oxford
MMMOSAM:6f55e25c-9d8e-4c60-9560-dc78d6cf2c78,PRJNA604975,SAMN14345057,SRR11281534,NA,Oxford
MMMOSAM:5a0e9cf8-1d84-4181-b7ae-4224f6798ee0,PRJNA604975,SAMN14345059,SRR11281536,NA,Oxford
MMMOSAM:53ffb45a-9c61-4e67-addd-a921a3c48672,PRJNA604975,SAMN14345060,SRR11281537,NA,Oxford
MMMOSAM:49010bb8-4ff5-4a0f-ae13-34104782903a,PRJNA604975,SAMN14345062,SRR11281539,NA,Oxford
MMMOSAM:25eed0ba-65ad-45ab-acf4-7e48994138e1,PRJNA604975,SAMN14345067,SRR11281544,NA,Oxford
MMMOSAM:19e32405-efa1-4b4a-a3e7-c5499dbeba59,PRJNA604975,SAMN14345070,SRR11281547,NA,Oxford
MMMOSAM:1669d8c0-3133-4339-9d49-9e10e6bc5e64,PRJNA604975,SAMN14345071,SRR11281548,NA,Oxford
MMMOSAM:cbb95ac2-ebd6-4afc-9ca2-6e2bcef20b18,PRJNA604975,SAMN18254402,SRR13991556,NA,Oxford
MMMOSAM:cd51107a-2000-4e26-b778-5ea00ce7eec3,PRJNA604975,SAMN18254388,SRR13991557,NA,Oxford
MMMOSAM:6f822a0e-ab23-4293-b461-b8779d7eecd4,PRJNA604975,SAMN18257243,SRR13991558,NA,Oxford
