name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
H1-001-0001-M-L	5113034	196	26086.91	355952	92	0	0	130320	13	71864	24	26244	45
H1-001-0002-H-K	5108675	140	36490.54	389981	92	0	0	216142	9	173758	14	56295	23
H1-001-0003-S-J	4626835	94	49221.65	518868	92	0	0	188996	7	137611	12	41436	23
H1-001-0004-T-P	5274629	155	34029.86	494008	95	0	0	223854	8	163413	14	41381	24
H1-001-0005-R-G	4946328	86	57515.44	431914	92	0	0	279067	8	222964	11	100357	18
H1-001-0006-M-A	5280479	239	22094.05	348882	92	0	0	210771	10	103306	17	38279	33
H1-001-0007-H-B	5225420	153	34153.07	599298	93	0	0	230116	7	152523	12	41381	22
H1-001-0008-K-S	5014378	216	23214.71	590230	92	0	0	218563	7	132803	12	32588	25
H1-001-0009-M-P	4995414	130	38426.26	1199683	93	0	0	366122	4	215764	7	70510	14
H1-001-0010-R-N	5122264	172	29780.6	291294	112	0	0	125766	14	60375	25	28236	49
H1-001-0011-M-Y	5166244	124	41663.26	484591	149	0	0	246846	7	191315	12	38790	24
H1-001-0012-K-B	4972910	139	35776.33	280817	93	0	0	162769	13	92260	21	36656	39
H1-001-0013-L-J	5266047	177	29751.68	358811	92	0	0	121343	13	86660	23	32890	44
H1-001-0014-F-H	5137061	121	42455.05	677425	92	0	0	295893	6	154679	11	51262	20
H1-001-0015-A-R	4829226	173	27914.6	410057	92	0	0	111647	13	69452	24	28413	46
H1-001-0016-D-R	5074622	200	25373.11	450844	92	0	0	239614	8	151822	13	31281	26
H1-001-0017-D-M	5284127	173	30544.09	386970	93	0	0	177185	11	106110	19	35801	36
H1-001-0018-G-O	4860770	117	41545.04	521935	93	0	0	212901	8	119185	15	46964	27
H1-001-0019-M-A	4998436	266	18791.11	287430	92	0	0	108683	15	57726	26	23968	51
H1-001-0020-M-O	5130391	161	31865.78	442168	92	0	0	166288	10	86399	20	34885	38
H1-001-0021-V-C	4831478	143	33786.56	703173	92	0	0	298748	6	211919	9	56255	17
H1-001-0022-E-J	5191185	213	24371.76	270570	92	0	0	90214	18	54066	32	22538	60
H1-001-0023-M-D	4848250	161	30113.35	365977	92	0	0	134495	11	78956	21	28801	41
H1-001-0024-C-H	5085368	137	37119.47	618837	92	0	0	237831	6	197765	10	58344	20
H1-001-0025-C-R	5061815	151	33521.95	389968	92	0	0	158941	10	123991	18	54710	29
H1-001-0026-C-O	4993121	363	13755.15	198377	92	0	0	52535	29	34162	54	13339	100
H1-001-0027-S-G	5260745	217	24243.06	295430	104	0	0	118826	15	75967	26	25375	50
H1-001-0028-E-M	5178272	171	30282.29	591562	92	0	0	296326	6	155818	11	39923	24
H1-001-0029-V-P	4680556	146	32058.6	541793	117	0	0	129491	11	72270	20	29579	42
H1-001-0030-D-A	4708639	102	46163.13	707463	93	0	0	209854	7	151065	12	55421	21
H1-001-0031-C-M	4898475	160	30615.47	442627	92	0	0	150607	10	107463	17	39727	31
H1-001-0032-B-L	5167103	223	23170.87	336225	92	0	0	180034	10	100607	18	23872	36
H1-001-0033-G-M	5218325	184	28360.46	487343	112	0	0	249428	9	133473	14	31019	28
H1-001-0034-S-M	5273429	297	17755.65	607986	92	0	0	165802	10	65489	21	20902	46
H1-001-0035-H-A	4963083	118	42060.03	536798	121	0	0	215259	8	121754	14	44246	27
H1-001-0036-E-A	5408395	168	32192.83	561769	136	0	0	189508	10	147362	16	35815	31
H1-001-0037-D-J	5125028	239	21443.63	439950	93	0	0	150222	10	88134	19	28919	37
H1-001-0038-C-V	5228030	210	24895.38	371406	92	0	0	154366	11	106603	19	38654	34
H1-001-0039-B-E	5026764	112	44881.82	661602	92	0	0	331830	5	132692	11	51122	21
H1-001-0040-G-N	5114178	113	45258.21	636804	92	0	0	328896	7	188441	11	48321	20
H1-001-0041-D-F	4635144	155	29904.15	193885	135	0	0	67461	21	45633	38	20913	67
H1-001-0042-N-E	5012587	226	22179.59	451706	112	0	0	139670	11	78652	20	22699	40
H1-001-0043-L-G	5114085	208	24586.95	300912	92	0	0	108282	16	82839	27	22082	48
H1-001-0044-P-M	4732438	201	23544.47	413325	92	0	0	147622	11	88338	19	28761	39
H1-001-0045-L-T	4988725	139	35890.11	363325	92	0	0	137989	13	109313	21	39241	36
H1-001-0046-S-T	4823212	162	29772.91	601597	92	0	0	193354	7	92029	15	34678	30
H1-001-0047-R-C	5033865	184	27357.96	582316	115	0	0	144016	10	94414	19	34476	36
H1-001-0048-F-M	5225247	188	27793.87	622900	112	0	0	203038	8	116376	15	30314	29
H1-001-0049-M-M	4919321	234	21022.74	390686	92	0	0	121310	14	68996	24	22140	48
H1-001-0050-M-T	5051890	189	26729.58	593211	92	0	0	144632	11	107365	18	35145	33
H1-001-0051-L-F	4759038	203	23443.54	540937	92	0	0	135968	10	77052	19	28376	40
H1-001-0052-M-M	5453159	374	14580.64	351384	92	0	0	93202	19	56861	34	14128	71
H1-001-0053-K-E	5228566	271	19293.6	412770	112	0	0	129524	11	97792	21	25122	39
H1-001-0054-A-A	4763997	98	48612.21	744405	92	0	0	566777	4	199011	7	74205	14
H1-001-0055-L-B	4934066	164	30085.77	522957	112	0	0	140422	12	94647	21	26529	40
H1-001-0056-E-J	5107216	148	34508.22	662575	113	0	0	203077	8	116690	14	47881	25
H1-001-0057-V-E	4926222	89	55350.81	445846	117	0	0	260771	8	159754	13	46364	24
H1-001-0058-G-M	4999099	151	33106.62	583538	112	0	0	345653	6	127260	11	55224	21
H1-001-0059-M-F	5051430	147	34363.47	523760	112	0	0	135512	11	88366	20	36736	36
H1-001-0060-C-R	5334116	248	21508.53	283905	106	0	0	95375	16	61017	31	19962	62
H1-001-0061-H-J	4959077	207	23956.89	410178	92	0	0	135692	11	83612	20	29392	38
H1-001-0062-D-H	5450818	282	19329.14	335085	115	0	0	149217	12	86654	22	22023	46
H1-001-0063-G-T	4961180	139	35691.94	351805	129	0	0	198215	10	114343	16	41218	28
H1-001-0064-D-M	5216785	267	19538.52	258347	112	0	0	93276	21	49080	35	17900	68
H1-001-0065-A-D	5159720	146	35340.55	785717	112	0	0	255435	7	132476	12	38916	25
H1-001-0066-P-C	4721321	165	28614.07	155271	114	0	0	96458	19	66609	31	30730	53
H1-001-0067-D-V	4641869	142	32689.22	339793	117	0	0	126299	12	78945	22	37106	38
H1-001-0068-C-C	5160649	135	38227.03	589098	115	0	0	193738	8	128247	14	51219	26
H1-001-0069-L-A	5275690	140	37683.5	871115	113	0	0	282477	6	146419	11	47423	23
H1-001-0070-L-P	5053414	159	31782.48	351504	118	0	0	139463	11	82997	21	30966	40
H1-001-0071-P-L	4694356	112	41913.89	462875	93	0	0	186468	9	119047	15	55144	26
H1-001-0072-N-F	5167838	155	33340.89	528657	105	0	0	236655	7	172222	12	32144	27
H1-001-0073-Z-M	4946710	102	48497.16	745989	92	0	0	244095	6	132435	11	53475	22
H1-001-0074-B-K	4976590	246	20230.04	257852	112	0	0	88580	20	57935	33	17366	62
H1-001-0075-N-A	4734054	117	40462	398234	100	0	0	178029	10	113690	16	43451	30
H1-001-0076-M-P	5014240	116	43226.21	597133	112	0	0	212621	8	124115	14	33398	27
H1-001-0077-B-V	5144831	149	34529.07	388206	122	0	0	156093	11	88136	21	33993	38
H1-001-0078-O-P	5097151	158	32260.45	348925	113	0	0	209793	10	156520	15	38319	29
H1-001-0079-V-O	5317124	234	22722.75	390107	112	0	0	157243	12	111750	19	23661	38
H1-001-0080-B-A	5259268	151	34829.59	350035	115	0	0	166270	10	73144	19	26349	41
H1-001-0081-L-J	5180143	191	27121.17	460962	92	0	0	206226	9	117711	15	29847	32
H1-001-0082-P-K	5124612	129	39725.67	610024	112	0	0	237122	8	159014	13	41564	24
H1-001-0083-D-D	5142481	220	23374.91	581604	92	0	0	203004	8	132462	14	33292	27
H1-001-0084-A-S	5241456	202	25947.8	583847	112	0	0	203044	8	113332	15	26832	30
H1-001-0085-F-D	5299006	134	39544.82	691482	118	0	0	306213	6	198350	10	86208	18
H1-001-0086-B-F	5085042	157	32388.8	640038	92	0	0	147915	12	88204	21	44368	36
H1-001-0087-M-C	5104734	171	29852.25	668694	112	0	0	174395	9	113241	16	36095	29
H1-001-0088-K-O	5117395	151	33890.03	577674	112	0	0	227432	7	169252	12	41496	23
H1-001-0089-F-A	5358955	225	23817.58	418622	129	0	0	186237	10	103199	17	28877	36
H1-001-0090-C-J	5089644	143	35591.92	478863	118	0	0	203320	8	163985	14	47884	24
H1-001-0091-R-G	4625666	189	24474.42	439031	92	0	0	116017	14	72241	24	26422	45
H1-001-0092-L-F	4820154	195	24718.74	382967	112	0	0	110842	11	72350	22	23278	47
