NUCCORE_ACC	NUCCORE_CreateDate	NUCCORE_GC	BIOSAMPLE_Host	BIOSAMPLE_Host_processed	BIOSAMPLE_IsolationSource	NUCCORE_Length	BIOSAMPLE_Location	BIOSAMPLE_SampleType	NUCCORE_Topology	loc_lat	loc_lng	loc_parsed	plasmidfinder	pmlst	TAXONOMY_class	TAXONOMY_family	TAXONOMY_genus	TAXONOMY_taxon_name	TAXONOMY_order	TAXONOMY_phylum	TAXONOMY_species	TAXONOMY_strain	TAXONOMY_superkingdom	D1	D2
OY754457.1	2023-10-27	0.5166555122900949				65744	France		circular	46.603353999999996	1.8883334999999999	France	IncFII(pCoo)_1, CR942285, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(~82);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.5056753	3.8908079
OY754456.1	2023-10-27	0.5012666099664371				109347	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, 	IncF RST(F4:A-:B-):FIA(-);FIB(75?);FIC(3?);FII(4);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.851101	3.6537106
OY754448.1	2023-10-27	0.5000368541313481				149237	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncQ1_1, M28829, |IncFIC(FII)_1, AP001918, 	IncF RST(--:A-:B-):FIA(-);FIB(58?);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.492008	3.128212
OY754446.1	2023-10-27	0.5307084639498433				39875	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(K)_1, JN233704, 	IncF RST(F-:A-:B-):FIA(-);FIB(-);FIC(-);FII(-);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	2.0190926	0.27044898
OY754438.1	2023-10-27	0.4983557719851045				87275	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII(pHN7A8)_1, JN232517, 	IncF RST(F40:A-:B-):FIA(-);FIB(75?);FIC(-);FII(40);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.858759399999999	3.5530648
OY754428.1	2023-10-27	0.5052679962940885				139237	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFIC(FII)_1, AP001918, 	IncF RST(--:A-:B-):FIA(-);FIB(58?);FIC(4);FII(18);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.425175999999999	3.1253
OY754422.1	2023-10-27	0.5071614969456142				134888	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII(pRSB107)_1, AJ851089, 	IncF RST(F-:A-:B-):FIA(-);FIB(80?);FIC(5?);FII(~4);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.771960000000001	3.7917445
OY754418.1	2023-10-27	0.5049552311206031				148429	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, 	IncF RST(F24:A-:B-):FIA(-);FIB(6?);FIC(-);FII(24);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.048772	2.8496243999999997
OY754408.1	2023-10-27	0.4878893206137625				146441	France		circular	46.603353999999996	1.8883334999999999	France	IncFIB(AP001918)_1, AP001918, |IncFII_1, AY458016, |IncFIA_1, AP001918, 	IncF RST(F36:A27:B-):FIA(27);FIB(58?);FIC(-);FII(36);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-8.544080000000001	2.726424
OY754400.1	2023-10-27	0.5234506910136952				63964	France		circular	46.603353999999996	1.8883334999999999	France	IncFII(29)_1, CP003035, 	IncF RST(F30:A-:B-):FIA(-);FIB(-);FIC(5?);FII(30);FIIK(-);FIIS(-);FIIY(-)	Gammaproteobacteria (1236)	Enterobacteriaceae (543)	Escherichia (561)	Escherichia coli	Enterobacterales (91347)	Pseudomonadota (1224)	Escherichia_coli (562)		Bacteria (2)	-6.7605949999999995	3.672318
